Word,Frequency,Sentiment
samsung,37,Negative
one,5,Negative
exynos,5,Negative
galaxy,5,Negative
get,4,Negative
apple,4,Negative
like,4,Negative
battery,4,Negative
watch,4,Negative
update,3,Negative
lost,3,Negative
shit,3,Negative
phone,3,Negative
day,3,Negative
make,3,Negative
used,3,Negative
years,3,Negative
amp,3,Negative
new,3,Negative
photos,3,Negative
hate,2,Negative
iphone,2,Negative
snapdragon,2,Negative
thats,2,Negative
crazy,2,Negative
use,2,Negative
hardware,2,Negative
water,2,Negative
still,2,Negative
tastes,2,Negative
trying,2,Negative
squircle,2,Negative
bad,2,Negative
everything,2,Negative
cannot,2,Negative
updates,2,Negative
time,2,Negative
slim,2,Negative
lasting,2,Negative
doesnt,2,Negative
matter,2,Negative
series,2,Negative
last,2,Negative
smartwatch,2,Negative
app,2,Negative
due,2,Negative
repair,2,Negative
issues,2,Negative
decided,2,Negative
try,2,Negative
samsung,90,Positive
galaxy,36,Positive
ring,20,Positive
new,15,Positive
iphone,14,Positive
like,13,Positive
watch,13,Positive
smart,13,Positive
may,12,Positive
usd,12,Positive
sleep,12,Positive
amp,11,Positive
fitness,10,Positive
tracker,10,Positive
one,9,Positive
phone,9,Positive
ultra,9,Positive
felix,8,Positive
get,8,Positive
design,8,Positive
best,8,Positive
powerful,7,Positive
time,7,Positive
heart,7,Positive
rate,7,Positive
tracking,7,Positive
apple,6,Positive
look,6,Positive
green,6,Positive
oura,6,Positive
gen,6,Positive
sizing,6,Positive
kit,6,Positive
wearable,6,Positive
gold,6,Positive
titanium,6,Positive
waterproof,6,Positive
health,6,Positive
series,5,Positive
deal,5,Positive
edge,5,Positive
make,5,Positive
youre,5,Positive
features,5,Positive
usb,5,Positive
want,5,Positive
way,5,Positive
see,5,Positive
first,5,Positive
star,5,Positive
samsung,43,Neutral
galaxy,10,Neutral
amp,7,Neutral
one,6,Neutral
series,6,Neutral
edge,5,Neutral
ultra,5,Neutral
may,5,Neutral
buy,5,Neutral
full,5,Neutral
never,5,Neutral
watch,4,Neutral
phone,4,Neutral
available,4,Neutral
know,4,Neutral
anything,4,Neutral
products,4,Neutral
bugs,4,Neutral
obsolescence,4,Neutral
last,4,Neutral
warranty,4,Neutral
period,4,Neutral
break,4,Neutral
deliberately,4,Neutral
manufactured,4,Neutral
junk,4,Neutral
done,3,Neutral
new,3,Neutral
phones,3,Neutral
order,3,Neutral
start,3,Neutral
next,2,Neutral
week,2,Neutral
channel,2,Neutral
enough,2,Neutral
revenue,2,Neutral
list,2,Neutral
time,2,Neutral
book,2,Neutral
samsungs,2,Neutral
using,2,Neutral
trump,2,Neutral
ive,2,Neutral
price,2,Neutral
oppo,2,Neutral
coloros,2,Neutral
app,2,Neutral
opening,2,Neutral
animation,2,Neutral
soon,2,Neutral
